incident_number,assignment_group,status,resolution_notes,MTTR,Priority,created_date,incident_description
INC100021,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,1.51,P4,2020-01-05,developer faced timeout error in email gateway queries run from NY data center. Various value character wish environment.
INC100022,LCH - Service2 - Support,Cancelled,Access: Group membership updated in AD.,10.95,P4,2020-01-05,intern unable to log into CRM from VPN network environment. Run day method mission scene.
INC100023,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,9.83,P4,2020-01-05,IT support reported network disruption at NY data center affecting CRM. Modern number themselves else.
INC100024,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,9.82,P3,2020-01-05,finance user reported network disruption at VPN network affecting CRM. Practice everybody popular.
INC100025,LCH - Service2 - Support,In-Progress,Hardware: Cleaned fan assembly and updated BIOS.,13.63,P4,2020-01-05,analyst's device at London office showed signs of failure during diagnostics. Charge one visit.
INC100026,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,13.42,P4,2020-01-05,IT support's device at VPN network showed signs of failure during diagnostics. Free station modern character story.
INC100027,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,11.77,P4,2020-01-05,IT support unable to log into CRM from VPN network environment. Someone baby fight.
INC100028,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,5.03,P4,2020-01-05,intern faced timeout error in data warehouse queries run from VPN network. Hope medical TV may bit party.
INC100029,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,10.87,P4,2020-01-05,finance user faced timeout error in VPN client queries run from remote session. Somebody provide reveal anything financial.
INC100030,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,8.85,P4,2020-01-05,intern experienced software crash while accessing VPN client at London office. Reflect set sure full relationship.
INC100031,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,7.14,P4,2020-01-05,intern unable to log into email gateway from London office environment. Then hope in spend.
INC100032,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,12.79,P3,2020-01-05,intern experienced software crash while accessing VPN client at remote session. Along toward black.
INC100033,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,9.4,P2,2020-01-05,finance user experienced software crash while accessing email gateway at VPN network. Radio pay guy human.
INC100034,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,10.11,P4,2020-01-05,developer experienced software crash while accessing CRM at VPN network. Say series hit identify cold.
INC100035,LCH - Service2 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,11.23,P4,2020-01-05,developer's device at NY data center showed signs of failure during diagnostics. Capital each station reason.
INC100036,LCH - Service2 - Support,Completed,Hardware: Power unit replacement resolved the issue.,8.15,P4,2020-01-05,intern's device at remote session showed signs of failure during diagnostics. City appear policy.
INC100037,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,5.83,P3,2020-01-05,manager reported network disruption at London office affecting data warehouse. Attorney security generation during past.
INC100038,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,11.08,P4,2020-01-05,analyst unable to log into SSO from HR portal environment. Writer change effect sign.
INC100039,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,8.11,P3,2020-01-05,finance user faced timeout error in VPN client queries run from NY data center. Professor participant your however play happen.
INC100040,LCH - Service2 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,5.4,P4,2020-01-05,intern reported network disruption at NY data center affecting email gateway. Plant short drug quality.
INC100041,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,8.29,P2,2020-01-05,finance user unable to log into VPN client from HR portal environment. Than present him experience.
INC100042,LCH - Service2 - Support,Cancelled,Software: Reinstalled software after registry clean-up.,7.82,P4,2020-01-05,finance user experienced software crash while accessing SSO at HR portal. Across industry upon.
INC100043,LCH - Service2 - Support,Completed,Software: Updated dependency libraries to resolve error.,5.14,P4,2020-01-05,finance user experienced software crash while accessing VPN client at VPN network. Tough us entire.
INC100044,LCH - Service1 - Support,Completed,Database: Optimized SQL query to resolve timeout.,18.2,P2,2020-01-05,analyst faced timeout error in VPN client queries run from London office. Or truth certainly board party everything.
INC100045,LCH - Service1 - Support,In-Progress,Hardware: Replaced faulty RAM module.,9.81,P4,2020-01-05,intern's device at remote session showed signs of failure during diagnostics. Few purpose hit agree road.
INC100046,LCH - Service1 - Support,In-Progress,Software: Patched application resolved crash issue.,9.8,P4,2020-01-05,IT support experienced software crash while accessing data warehouse at NY data center. Heart wear conference table base stuff.
INC100047,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,18.91,P4,2020-01-05,manager experienced software crash while accessing SSO at London office. Minute director shoulder investment room create.
INC100048,LCH - Service1 - Support,Completed,Hardware: Power unit replacement resolved the issue.,11.13,P4,2020-01-05,finance user's device at HR portal showed signs of failure during diagnostics. Know good lawyer word.
INC100049,LCH - Service1 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,11.52,P2,2020-01-05,finance user's device at NY data center showed signs of failure during diagnostics. Hundred painting magazine financial.
INC100050,LCH - Service2 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,13.95,P2,2020-01-05,intern reported network disruption at remote session affecting email gateway. Cup game your society magazine pressure.
INC100051,LCH - Service1 - Support,In-Progress,Access: New role permissions assigned manually.,14.98,P4,2020-01-05,intern unable to log into email gateway from VPN network environment. Drug hotel join hold commercial design.
INC100052,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,8.64,P4,2020-01-12,finance user faced timeout error in VPN client queries run from remote session. Go conference give machine simple.
INC100053,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,14.14,P4,2020-01-12,IT support's device at HR portal showed signs of failure during diagnostics. Side realize night.
INC100054,LCH - Service1 - Support,Completed,Software: Patched application resolved crash issue.,9.12,P4,2020-01-12,intern experienced software crash while accessing email gateway at remote session. Sport president forward floor.
INC100055,LCH - Service1 - Support,In-Progress,Access: Group membership updated in AD.,9.05,P3,2020-01-12,developer unable to log into CRM from London office environment. Office goal even eye occur data.
INC100056,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,7.7,P4,2020-01-12,IT support experienced software crash while accessing CRM at VPN network. Letter bed carry.
INC100057,LCH - Service1 - Support,In-Progress,Network: VPN issue resolved by resetting tunnel configuration.,12.38,P4,2020-01-12,intern reported network disruption at London office affecting email gateway. Less lead another lose establish.
INC100058,LCH - Service1 - Support,In-Progress,Database: Optimized SQL query to resolve timeout.,9.54,P4,2020-01-12,manager faced timeout error in CRM queries run from HR portal. Finally information shoulder above.
INC100059,LCH - Service2 - Support,Completed,Access: MFA reset completed for user login.,13.02,P4,2020-01-12,manager unable to log into VPN client from HR portal environment. Parent her nice before beyond particularly.
INC100060,LCH - Service1 - Support,In-Progress,Access: MFA reset completed for user login.,8.81,P4,2020-01-12,analyst unable to log into email gateway from NY data center environment. Enough seek green stock various recently.
INC100061,LCH - Service2 - Support,Completed,Access: MFA reset completed for user login.,3.01,P4,2020-01-12,analyst unable to log into data warehouse from London office environment. Carry she power.
INC100062,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,9.54,P4,2020-01-12,manager experienced software crash while accessing email gateway at London office. Member goal event including all hit.
INC100063,LCH - Service1 - Support,Completed,Software: Patched application resolved crash issue.,8.99,P3,2020-01-12,intern experienced software crash while accessing CRM at HR portal. Court nation career action.
INC100064,LCH - Service1 - Support,In-Progress,Database: Table indexing completed to improve performance.,3.03,P3,2020-01-12,intern faced timeout error in CRM queries run from VPN network. Age hundred peace visit meet.
INC100065,LCH - Service1 - Support,In-Progress,Access: MFA reset completed for user login.,10.66,P4,2020-01-12,analyst unable to log into VPN client from VPN network environment. Information threat theory study wide.
INC100066,LCH - Service1 - Support,In-Progress,Software: Patched application resolved crash issue.,15.16,P4,2020-01-12,analyst experienced software crash while accessing email gateway at remote session. Simply late assume plan spring subject.
INC100067,LCH - Service2 - Support,Completed,Hardware: Replaced faulty RAM module.,15.61,P4,2020-01-12,developer's device at HR portal showed signs of failure during diagnostics. Common my from concern away blue.
INC100068,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,12.41,P4,2020-01-12,intern faced timeout error in SSO queries run from London office. Interest pattern beat eight education.
INC100069,LCH - Service2 - Support,Completed,Hardware: Replaced faulty RAM module.,12.66,P4,2020-01-12,IT support's device at HR portal showed signs of failure during diagnostics. Charge similar get result west.
INC100070,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,8.58,P3,2020-01-12,manager unable to log into data warehouse from remote session environment. Strong any prepare first husband.
INC100071,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,16.62,P4,2020-01-12,manager experienced software crash while accessing data warehouse at VPN network. North whole us.
INC100072,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,5.17,P4,2020-01-12,manager unable to log into VPN client from HR portal environment. Drive actually matter change fear.
INC100073,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,7.61,P4,2020-01-12,developer faced timeout error in email gateway queries run from VPN network. Whole what share miss dinner.
INC100074,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,16.54,P4,2020-01-12,IT support unable to log into CRM from remote session environment. Future theory easy.
INC100075,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,15.41,P3,2020-01-12,manager faced timeout error in CRM queries run from VPN network. Another analysis man while matter.
INC100076,LCH - Service2 - Support,Completed,Database: Table indexing completed to improve performance.,8.78,P4,2020-01-12,developer faced timeout error in VPN client queries run from remote session. Out idea party PM strong conference.
INC100077,LCH - Service2 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,12.04,P3,2020-01-12,IT support reported network disruption at VPN network affecting email gateway. Mission price sell.
INC100078,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,11.18,P4,2020-01-12,developer reported network disruption at HR portal affecting data warehouse. Keep thank public drop.
INC100079,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,11.79,P4,2020-01-12,finance user faced timeout error in SSO queries run from VPN network. Ago other age.
INC100080,LCH - Service1 - Support,Completed,Database: Optimized SQL query to resolve timeout.,1.45,P4,2020-01-12,manager faced timeout error in SSO queries run from NY data center. Goal exist remember environmental trade.
INC100081,LCH - Service2 - Support,In-Progress,Database: Table indexing completed to improve performance.,2.82,P4,2020-01-12,manager faced timeout error in email gateway queries run from NY data center. Board discover attention culture.
INC100082,LCH - Service2 - Support,Completed,Access: MFA reset completed for user login.,13.2,P4,2020-01-12,IT support unable to log into CRM from London office environment. Consumer study speech industry score.
INC100083,LCH - Service1 - Support,In-Progress,Database: Table indexing completed to improve performance.,11.99,P3,2020-01-12,developer faced timeout error in CRM queries run from NY data center. Computer share war.
INC100084,LCH - Service2 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,9.82,P3,2020-01-12,intern reported network disruption at NY data center affecting CRM. Mention best senior.
INC100085,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,4.32,P4,2020-01-12,manager experienced software crash while accessing SSO at HR portal. Decade mouth create between section.
INC100086,LCH - Service1 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,18.93,P3,2020-01-12,IT support's device at London office showed signs of failure during diagnostics. Big resource mouth turn style under.
INC100087,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,5.43,P4,2020-01-19,analyst experienced software crash while accessing CRM at NY data center. Or market act future buy.
INC100088,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,2.24,P4,2020-01-19,manager experienced software crash while accessing email gateway at NY data center. Wide arrive management get big east.
INC100089,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,7.82,P4,2020-01-19,analyst faced timeout error in SSO queries run from remote session. Worker blue expert arm indicate.
INC100090,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,9.99,P4,2020-01-19,IT support's device at London office showed signs of failure during diagnostics. Question now food if position security.
INC100091,LCH - Service1 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,16.29,P4,2020-01-19,analyst reported network disruption at London office affecting data warehouse. Impact require police address.
INC100092,LCH - Service1 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,15.02,P4,2020-01-19,analyst reported network disruption at remote session affecting email gateway. Parent important morning weight become.
INC100093,LCH - Service2 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,11.6,P4,2020-01-19,manager reported network disruption at HR portal affecting email gateway. Often someone now.
INC100094,LCH - Service2 - Support,In-Progress,Network: DHCP reconfiguration fixed IP allocation.,16.02,P4,2020-01-19,finance user reported network disruption at London office affecting data warehouse. Wind this standard.
INC100095,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,11.06,P4,2020-01-19,analyst experienced software crash while accessing SSO at VPN network. Born last book family manager worker.
INC100096,LCH - Service1 - Support,In-Progress,Access: MFA reset completed for user login.,12.46,P4,2020-01-19,intern unable to log into data warehouse from NY data center environment. Husband probably enter.
INC100097,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,15.2,P4,2020-01-19,analyst unable to log into data warehouse from NY data center environment. This decide knowledge according teacher.
INC100098,LCH - Service1 - Support,In-Progress,Hardware: Power unit replacement resolved the issue.,7.46,P4,2020-01-19,finance user's device at VPN network showed signs of failure during diagnostics. Represent fire hear.
INC100099,LCH - Service1 - Support,Completed,Access: Group membership updated in AD.,17.42,P4,2020-01-19,IT support unable to log into SSO from remote session environment. Government statement lead them history.
INC100100,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,17.42,P4,2020-01-19,developer's device at London office showed signs of failure during diagnostics. Dream he treat.
INC100101,LCH - Service2 - Support,In-Progress,Network: DHCP reconfiguration fixed IP allocation.,20.9,P4,2020-01-19,developer reported network disruption at London office affecting SSO. Mind change computer painting side against.
INC100102,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,15.27,P4,2020-01-19,manager unable to log into data warehouse from HR portal environment. Serve wrong ever bank.
INC100103,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,10.46,P4,2020-01-19,IT support experienced software crash while accessing CRM at NY data center. Specific official animal raise.
INC100104,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,7.32,P4,2020-01-19,finance user unable to log into email gateway from remote session environment. Person learn single ever.
INC100105,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,8.79,P3,2020-01-19,manager unable to log into CRM from London office environment. Production sense federal dog official.
INC100106,LCH - Service2 - Support,Completed,Software: Updated dependency libraries to resolve error.,16.33,P3,2020-01-19,intern experienced software crash while accessing email gateway at remote session. Little play school turn fish.
INC100107,LCH - Service1 - Support,Cancelled,Database: Optimized SQL query to resolve timeout.,11.65,P4,2020-01-19,finance user faced timeout error in CRM queries run from HR portal. Represent color light right.
INC100108,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,12.0,P3,2020-01-19,developer reported network disruption at remote session affecting data warehouse. Interesting arrive the place own.
INC100109,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,19.07,P4,2020-01-19,IT support reported network disruption at remote session affecting CRM. Word until culture create citizen your.
INC100110,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,11.36,P4,2020-01-19,developer unable to log into email gateway from HR portal environment. Purpose medical course lay pull actually.
INC100111,LCH - Service1 - Support,Completed,Access: Group membership updated in AD.,7.92,P4,2020-01-19,IT support unable to log into VPN client from HR portal environment. Tv against suddenly.
INC100112,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,9.63,P4,2020-01-19,analyst reported network disruption at remote session affecting email gateway. Name prepare charge.
INC100113,LCH - Service2 - Support,Completed,Software: Updated dependency libraries to resolve error.,3.01,P4,2020-01-19,analyst experienced software crash while accessing SSO at London office. Wait operation degree step.
INC100114,LCH - Service2 - Support,Completed,Database: Table indexing completed to improve performance.,9.05,P3,2020-01-19,finance user faced timeout error in data warehouse queries run from remote session. Interesting prove choose.
INC100115,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,8.71,P3,2020-01-19,intern unable to log into email gateway from remote session environment. Pm until national easy whom.
INC100116,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,11.88,P4,2020-01-19,analyst unable to log into VPN client from remote session environment. Economic political him will rock.
INC100117,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,13.98,P4,2020-01-19,intern faced timeout error in data warehouse queries run from HR portal. Require goal suddenly occur church take.
INC100118,LCH - Service1 - Support,Completed,Access: Group membership updated in AD.,8.47,P4,2020-01-19,finance user unable to log into VPN client from VPN network environment. Physical win technology evidence.
INC100119,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,11.82,P4,2020-01-19,finance user reported network disruption at London office affecting VPN client. Wish face compare TV company.
INC100120,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,9.75,P3,2020-01-19,finance user reported network disruption at HR portal affecting data warehouse. Determine political really.
INC100121,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,2.9,P4,2020-01-19,developer unable to log into VPN client from HR portal environment. Wear support carry around physical quickly.
INC100122,LCH - Service1 - Support,Completed,Hardware: Power unit replacement resolved the issue.,7.79,P4,2020-01-19,analyst's device at NY data center showed signs of failure during diagnostics. At game health.
INC100123,LCH - Service2 - Support,Completed,Software: Updated dependency libraries to resolve error.,4.36,P4,2020-01-26,manager experienced software crash while accessing email gateway at remote session. Stay finally girl I structure field.
INC100124,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,0.11,P4,2020-01-26,intern faced timeout error in VPN client queries run from HR portal. Not well source.
INC100125,LCH - Service2 - Support,Completed,Hardware: Replaced faulty RAM module.,5.13,P4,2020-01-26,analyst's device at VPN network showed signs of failure during diagnostics. Whole bad across particularly.
INC100126,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,11.5,P2,2020-01-26,IT support reported network disruption at remote session affecting data warehouse. Piece like probably measure.
INC100127,LCH - Service2 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,8.17,P4,2020-01-26,intern reported network disruption at HR portal affecting CRM. Wind offer skill just.
INC100128,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,11.62,P3,2020-01-26,developer reported network disruption at remote session affecting CRM. See young defense dark strong something.
INC100129,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,15.58,P3,2020-01-26,IT support unable to log into email gateway from HR portal environment. Want use all color sign born.
INC100130,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,6.36,P4,2020-01-26,finance user experienced software crash while accessing CRM at NY data center. Identify stuff before door instead trouble.
INC100131,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,13.59,P4,2020-01-26,analyst reported network disruption at HR portal affecting SSO. Dark us rest eat gun.
INC100132,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,17.26,P4,2020-01-26,IT support experienced software crash while accessing SSO at remote session. Sport into many central finish some.
INC100133,LCH - Service1 - Support,Completed,Software: Patched application resolved crash issue.,0.95,P4,2020-01-26,manager experienced software crash while accessing VPN client at London office. Owner minute certainly.
INC100134,LCH - Service1 - Support,Completed,Database: Optimized SQL query to resolve timeout.,12.85,P4,2020-01-26,intern faced timeout error in email gateway queries run from London office. Hit particular possible recent nothing.
INC100135,LCH - Service1 - Support,Completed,Hardware: Power unit replacement resolved the issue.,19.77,P4,2020-01-26,analyst's device at NY data center showed signs of failure during diagnostics. There may drug peace purpose defense.
INC100136,LCH - Service2 - Support,In-Progress,Network: DHCP reconfiguration fixed IP allocation.,0.34,P4,2020-01-26,analyst reported network disruption at VPN network affecting data warehouse. This American however race.
INC100137,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,6.05,P4,2020-01-26,intern faced timeout error in SSO queries run from HR portal. Account prevent give moment edge.
INC100138,LCH - Service2 - Support,In-Progress,Software: Patched application resolved crash issue.,21.05,P4,2020-01-26,developer experienced software crash while accessing email gateway at VPN network. Participant PM boy.
INC100139,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,4.98,P4,2020-01-26,IT support unable to log into SSO from NY data center environment. Area pay born.
INC100140,LCH - Service1 - Support,In-Progress,Software: Updated dependency libraries to resolve error.,8.11,P4,2020-01-26,IT support experienced software crash while accessing CRM at remote session. Teach investment different cause lawyer police.
INC100141,LCH - Service1 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,13.65,P4,2020-01-26,intern reported network disruption at remote session affecting email gateway. Sure very difficult support it.
INC100142,LCH - Service2 - Support,Completed,Software: Updated dependency libraries to resolve error.,7.19,P3,2020-01-26,manager experienced software crash while accessing SSO at remote session. True return ago down bed.
INC100143,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,0.03,P4,2020-01-26,intern reported network disruption at London office affecting SSO. Wife available three reduce meeting.
INC100144,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,11.41,P3,2020-01-26,finance user faced timeout error in CRM queries run from London office. Again thank fear pay.
INC100145,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,7.75,P4,2020-01-26,analyst unable to log into VPN client from NY data center environment. Thousand time hospital process production.
INC100146,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,5.75,P4,2020-01-26,developer reported network disruption at NY data center affecting CRM. One political statement check.
INC100147,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,16.79,P4,2020-01-26,analyst reported network disruption at London office affecting CRM. Myself animal us drive job upon.
INC100148,LCH - Service1 - Support,In-Progress,Hardware: Replaced faulty RAM module.,9.38,P4,2020-01-26,finance user's device at London office showed signs of failure during diagnostics. Write especially born.
INC100149,LCH - Service1 - Support,Completed,Access: Group membership updated in AD.,7.83,P4,2020-01-26,manager unable to log into SSO from VPN network environment. Strategy hear Democrat he.
INC100150,LCH - Service2 - Support,Completed,Hardware: Replaced faulty RAM module.,10.3,P4,2020-01-26,developer's device at London office showed signs of failure during diagnostics. Through hundred over produce ball.
INC100151,LCH - Service1 - Support,In-Progress,Hardware: Cleaned fan assembly and updated BIOS.,13.18,P4,2020-01-26,analyst's device at remote session showed signs of failure during diagnostics. Without end them later.
INC100152,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,7.07,P3,2020-01-26,finance user experienced software crash while accessing email gateway at remote session. Raise year small service beyond evening truth.
INC100153,LCH - Service2 - Support,In-Progress,Database: Table indexing completed to improve performance.,0.81,P4,2020-01-26,developer faced timeout error in VPN client queries run from VPN network. Today newspaper both need scene.
INC100154,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,10.99,P3,2020-01-26,intern reported network disruption at remote session affecting VPN client. Catch gas hospital edge ask.
INC100155,LCH - Service2 - Support,Completed,Software: Reinstalled software after registry clean-up.,8.18,P4,2020-01-26,analyst experienced software crash while accessing SSO at London office. Process plan open.
INC100156,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,2.5,P3,2020-01-26,intern reported network disruption at NY data center affecting SSO. History what some.
INC100157,LCH - Service2 - Support,Completed,Access: MFA reset completed for user login.,11.65,P4,2020-01-26,developer unable to log into CRM from NY data center environment. Full although memory they watch.
INC100158,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,12.72,P4,2020-01-26,developer faced timeout error in email gateway queries run from London office. Image interest result eye ago manager.
INC100159,LCH - Service2 - Support,Completed,Hardware: Power unit replacement resolved the issue.,8.21,P3,2020-01-26,manager's device at VPN network showed signs of failure during diagnostics. Federal born government another.
INC100160,LCH - Service2 - Support,Completed,Software: Reinstalled software after registry clean-up.,12.21,P4,2020-01-26,intern experienced software crash while accessing data warehouse at NY data center. See suggest law teach reduce Mrs.
INC100161,LCH - Service1 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,5.79,P4,2020-01-26,analyst reported network disruption at London office affecting CRM. Agree sport you wife.
